Wavenumber,Intensity
1658.6653,89.834167
1662.3927,90.272068
1666.1200,90.516026
1669.8474,90.583656
1673.5747,90.549280
1677.3020,90.888333
1681.0294,91.382806
1684.7567,91.120162
1688.4840,91.156221
1692.2114,91.920782
1695.9387,92.372268
1699.6661,92.053393
1703.3934,91.903655
1707.1207,92.267957
1710.8481,92.854656
1714.5754,93.112665
1718.3027,92.600114
1722.0301,92.655671
1725.7574,93.219553
1729.4848,93.582181
1733.2121,93.381728
1736.9394,93.084280
1740.6668,93.231709
1744.3941,93.476730
1748.1214,93.517511
1751.8488,93.350012
1755.5761,93.404522
1759.3035,93.344730
1763.0308,93.214991
1766.7581,93.583796
1770.4855,93.817605
1774.2128,93.566082
1777.9401,93.631476
1781.6675,93.751136
1785.3948,93.847282
1789.1222,93.966079
1792.8495,93.796177
1796.5768,93.704671
1800.3042,93.749708
1804.0315,93.765299
1807.7589,93.858888
1811.4862,93.872948
1815.2135,93.905521
1818.9409,94.009787
1822.6682,94.054510
1826.3955,93.953682
1830.1229,93.766017
1833.8502,93.761842
1837.5776,93.961320
1841.3049,94.081434
1845.0322,93.866877
1848.7596,93.702895
1852.4869,93.850881
1856.2142,93.929329
1859.9416,93.905863
1863.6689,93.984219
1867.3963,93.944589
1871.1236,93.728400
1874.8509,93.769254
1878.5783,93.872112
1882.3056,93.931898
1886.0329,93.964548
1889.7603,93.889389
1893.4876,93.815946
1897.2150,93.836649
1900.9423,93.874005
1904.6696,93.930593
1908.3970,93.939502
1912.1243,93.938464
1915.8516,93.951045
1919.5790,93.943249
1923.3063,93.965063
1927.0337,94.051085
1930.7610,94.032870
1934.4883,94.031073
1938.2157,94.160069
1941.9430,94.202631
1945.6704,94.199479
1949.3977,94.374839
1953.1250,94.430594
1956.8524,94.378935
1960.5797,94.478852
1964.3070,94.608416
1968.0344,94.674520
1971.7617,94.981450
1975.4891,95.127256
1979.2164,94.772002
1982.9437,94.317316
1986.6711,94.281120
1990.3984,94.371187
1994.1257,94.274771
1997.8531,94.316607
2001.5804,94.553778
2005.3078,94.687831
2009.0351,94.758240
2012.7624,94.682506
2016.4898,94.695958
2020.2171,94.803166
2023.9444,94.807444
2027.6718,94.690775
2031.3991,94.523674
2035.1265,94.511552
2038.8538,94.601571
2042.5811,94.443301
2046.3085,94.069794
2050.0358,93.645791
2053.7631,93.469736
2057.4905,93.473173
2061.2178,93.483035
2064.9452,93.414301
2068.6725,93.361611
2072.3998,93.300629
2076.1272,93.232196
2079.8545,93.159071
2083.5819,93.092896
2087.3092,93.061165
2091.0365,93.105866
2094.7639,93.158255
2098.4912,93.090807
2102.2185,92.964605
2105.9459,92.912861
2109.6732,92.928392
2113.4006,92.942138
2117.1279,92.954189
2120.8552,93.059678
2124.5826,93.192769
2128.3099,93.383943
2132.0372,93.559093
2135.7646,93.633712
2139.4919,93.583360
2143.2193,93.713831
2146.9466,94.005689
2150.6739,94.251083
2154.4013,94.628285
2158.1286,94.902737
2161.8559,94.346977
2165.5833,93.807853
2169.3106,93.789828
2173.0380,93.722658
2176.7653,93.585283
2180.4926,93.575329
2184.2200,93.505586
2187.9473,93.306606
2191.6746,93.250542
2195.4020,93.332197
2199.1293,93.215437
2202.8567,92.999805
2206.5840,92.843730
2210.3113,92.724502
2214.0387,92.692603
2217.7660,92.742452
2221.4934,92.727277
2225.2207,92.698271
2228.9480,92.678857
2232.6754,92.603096
2236.4027,92.438394
2240.1300,92.328252
2243.8574,92.256124
2247.5847,92.264233
2251.3121,92.291877
2255.0394,92.220276
2258.7667,92.082360
2262.4941,91.960952
2266.2214,91.903319
2269.9487,91.885107
2273.6761,91.801722
2277.4034,91.711216
2281.1308,91.578559
2284.8581,91.434569
2288.5854,91.448164
2292.3128,91.520610
2296.0401,91.517845
2299.7674,91.521638
2303.4948,91.541059
2307.2221,91.548798
2310.9495,91.567149
2314.6768,91.596874
2318.4041,91.495237
2322.1315,91.284579
2325.8588,91.326258
